Account_Ref,Name,Industry,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,True_Churn_Label,Num_Cases
ACC-0039,Vertex Software 39,Manufacturing,18,2269.07,38252.96,One Year,1,3
ACC-0040,Pulse Systems 40,Healthcare,29,2679.27,78321.29,One Year,0,0
ACC-0041,Pulse Solutions 41,Education,18,2898.4,52524.73,Month-to-Month,1,4
ACC-0042,Stratum Health 42,Healthcare,50,800.88,37339.34,One Year,0,1
ACC-0043,Vertex Logistics 43,Finance,22,4000.94,82222.1,Month-to-Month,1,9
ACC-0044,Quantum Labs 44,Retail,32,1224.46,35618.45,Two Year,0,0
ACC-0045,Vertex Logistics 45,Education,18,2537.58,42554.63,One Year,0,0
ACC-0046,Nova Logistics 46,Healthcare,5,3069.29,15082.47,Month-to-Month,1,4
ACC-0047,Nova Software 47,Healthcare,15,3277.26,44769.57,Month-to-Month,1,2
ACC-0048,Stratum Media 48,Manufacturing,30,2284.47,66180.9,One Year,0,1
ACC-0049,Pulse Labs 49,Retail,5,2455.56,12801.05,Two Year,1,3
ACC-0050,Synergy Ventures 50,Finance,23,2088.91,45554.22,Month-to-Month,1,4
ACC-0051,Apex Logistics 51,Retail,17,1671.81,27121.0,One Year,1,1
ACC-0052,Quantum Solutions 52,Education,2,2410.14,4688.72,Month-to-Month,1,4
ACC-0053,Nexus Solutions 53,Healthcare,26,2749.0,69223.85,Month-to-Month,1,4
ACC-0054,Nexus Media 54,Manufacturing,19,3849.71,69616.63,One Year,1,4
ACC-0055,Nexus Analytics 55,Healthcare,31,4027.53,121775.0,One Year,0,1
ACC-0056,Nexus Analytics 56,Education,19,2026.08,35478.37,Two Year,0,2
ACC-0057,Stratum Ventures 57,Finance,15,1773.95,26450.12,Two Year,0,1
ACC-0058,Quantum Logistics 58,Education,21,1164.48,22340.19,Two Year,0,2
ACC-0059,Synergy Tech 59,Manufacturing,21,1776.55,34391.42,One Year,0,1
ACC-0060,Cloud Labs 60,Education,21,3305.03,64972.31,Two Year,0,2
ACC-0061,Nova Systems 61,Manufacturing,26,2337.56,63316.13,Two Year,0,0
ACC-0062,Quantum Ventures 62,Education,19,3434.23,61173.18,Two Year,1,3
ACC-0063,Apex Labs 63,Education,30,2239.18,65463.04,Two Year,0,0
ACC-0064,Quantum Logistics 64,Retail,38,2514.73,97498.63,Month-to-Month,1,6
ACC-0065,Nexus Software 65,Education,20,2698.58,55620.95,Two Year,0,1
ACC-0066,Cloud Media 66,Finance,10,3330.03,30421.34,Month-to-Month,1,3
ACC-0067,Synergy Labs 67,Healthcare,30,3584.51,107228.59,One Year,0,0
ACC-0068,Nexus Software 68,Education,21,1077.02,21740.87,Month-to-Month,1,6
ACC-0069,Synergy Media 69,Education,51,3576.34,173966.96,Month-to-Month,0,5
ACC-0070,Apex Software 70,Healthcare,19,1690.32,33661.8,One Year,0,2
ACC-0071,Quantum Analytics 71,Healthcare,15,1297.49,19681.45,One Year,1,0
ACC-0072,Vertex Solutions 72,Manufacturing,6,3979.16,24273.73,One Year,1,1
ACC-0073,Stratum Software 73,Manufacturing,15,1614.78,24136.95,Month-to-Month,0,3
ACC-0074,Synergy Ventures 74,Retail,20,1929.72,37806.44,One Year,0,3
ACC-0075,Cloud Systems 75,Finance,6,1877.75,10861.07,One Year,1,1
ACC-0076,Vertex Systems 76,Manufacturing,17,3077.34,47841.06,One Year,0,0
ACC-0077,Nova Media 77,Technology,12,2891.5,34280.57,One Year,0,3
ACC-0078,Nexus Logistics 78,Technology,15,2760.91,39447.21,One Year,0,3
ACC-0079,Apex Health 79,Finance,7,3903.84,27474.58,Month-to-Month,1,8
ACC-0080,Quantum Analytics 80,Healthcare,12,2656.68,30582.3,One Year,1,2
ACC-0081,Nova Health 81,Manufacturing,21,3286.15,67621.19,Month-to-Month,1,4
ACC-0082,Beacon Solutions 82,Education,25,1761.41,45707.07,Month-to-Month,1,7
ACC-0083,Nexus Labs 83,Education,17,3916.64,66269.59,One Year,0,3
ACC-0084,Quantum Systems 84,Education,14,2440.45,35178.9,Two Year,1,8
ACC-0085,Vertex Media 85,Education,8,3342.52,25616.66,Month-to-Month,1,3
ACC-0086,Vertex Software 86,Retail,17,3504.6,56986.66,One Year,1,0
ACC-0087,Nova Media 87,Technology,41,2657.24,108609.51,Month-to-Month,0,2
ACC-0088,Vertex Software 88,Technology,21,2086.17,42764.86,One Year,1,5
ACC-0089,Pulse Software 89,Manufacturing,8,1885.76,15623.09,Month-to-Month,1,4
ACC-0090,Stratum Systems 90,Finance,7,2633.16,16820.81,Month-to-Month,1,4
ACC-0091,Synergy Health 91,Healthcare,41,2043.4,75882.81,Two Year,0,0
ACC-0092,Nexus Health 92,Education,14,3738.0,50781.22,One Year,1,3
ACC-0093,Beacon Solutions 93,Technology,27,4108.16,101672.75,Two Year,1,0
ACC-0094,Beacon Media 94,Technology,7,2085.91,14525.34,One Year,1,3
ACC-0095,Stratum Media 95,Technology,26,2212.57,55143.37,One Year,0,6
ACC-0096,Apex Logistics 96,Technology,23,2794.94,60898.4,Month-to-Month,1,2
ACC-0097,Synergy Software 97,Technology,6,3097.0,18951.81,Month-to-Month,1,5
ACC-0098,Nova Solutions 98,Finance,20,2606.38,50411.01,One Year,0,0
ACC-0099,Synergy Labs 99,Manufacturing,12,2801.77,31643.75,Two Year,1,3
ACC-0100,Synergy Tech 100,Manufacturing,3,1683.01,5263.21,Month-to-Month,1,3
ACC-0101,Stratum Ventures 101,Retail,50,1643.93,75428.78,One Year,0,0
ACC-0102,Nexus Logistics 102,Retail,16,1498.77,22609.52,Two Year,0,3
ACC-0103,Stratum Software 103,Finance,27,3563.32,98875.06,One Year,1,1
ACC-0104,Vertex Logistics 104,Healthcare,24,2467.87,55409.23,One Year,0,0
ACC-0105,Synergy Media 105,Retail,30,1977.9,56686.81,Two Year,0,0
ACC-0106,Stratum Health 106,Retail,18,1232.88,22916.11,Month-to-Month,1,4
ACC-0107,Nova Ventures 107,Retail,42,3201.89,139402.25,Month-to-Month,1,2
ACC-0108,Vertex Software 108,Healthcare,18,2043.06,36600.71,One Year,0,1
ACC-0109,Nova Labs 109,Retail,19,1982.45,34771.09,One Year,1,3
ACC-0110,Apex Solutions 110,Education,27,3888.77,103089.69,One Year,1,1
ACC-0111,Nexus Systems 111,Education,14,2839.33,36132.8,Month-to-Month,1,9
ACC-0112,Apex Software 112,Manufacturing,12,2679.56,31821.21,Two Year,0,3
ACC-0113,Quantum Systems 113,Manufacturing,42,3604.07,147683.29,One Year,0,1
ACC-0114,Vertex Ventures 114,Finance,11,2479.56,27799.79,Month-to-Month,1,5
ACC-0115,Stratum Solutions 115,Education,13,2777.2,35541.78,One Year,0,0
ACC-0116,Apex Tech 116,Finance,15,3297.01,49508.11,Two Year,1,1
ACC-0117,Apex Labs 117,Manufacturing,14,2220.59,29217.67,One Year,1,5
ACC-0118,Nexus Analytics 118,Education,37,3086.11,105132.53,Month-to-Month,1,2
ACC-0119,Quantum Labs 119,Manufacturing,31,2777.19,79966.49,Month-to-Month,1,1
ACC-0120,Quantum Logistics 120,Education,81,2990.22,243600.09,Month-to-Month,0,1
ACC-0121,Vertex Labs 121,Education,16,2673.95,41990.8,Two Year,0,3
ACC-0122,Quantum Media 122,Education,54,3806.75,193383.41,Month-to-Month,0,3
ACC-0123,Nova Ventures 123,Education,45,2862.83,134013.27,Two Year,0,2
ACC-0124,Stratum Analytics 124,Healthcare,9,2361.54,20460.72,Two Year,0,1
ACC-0125,Nova Software 125,Technology,9,777.29,6305.77,One Year,0,0
ACC-0126,Vertex Tech 126,Finance,12,1949.48,22648.72,One Year,1,3
ACC-0127,Quantum Labs 127,Education,33,4451.8,148906.25,Month-to-Month,1,3
ACC-0128,Quantum Tech 128,Finance,26,1896.83,48694.66,One Year,0,1
ACC-0129,Nexus Software 129,Healthcare,20,3613.6,69439.84,One Year,0,3
ACC-0130,Cloud Media 130,Manufacturing,29,1225.61,36026.16,Two Year,0,2
ACC-0131,Beacon Systems 131,Technology,19,2934.64,57113.98,Two Year,0,1
ACC-0132,Nexus Systems 132,Education,23,1504.91,32218.07,One Year,1,1
ACC-0133,Stratum Ventures 133,Manufacturing,11,2723.2,29493.49,One Year,1,4
ACC-0134,Nova Ventures 134,Finance,7,2429.37,17837.65,Month-to-Month,0,6
ACC-0135,Vertex Analytics 135,Education,12,1688.19,19506.42,One Year,1,1
ACC-0136,Apex Solutions 136,Retail,16,2764.7,44270.74,Two Year,1,7
ACC-0137,Cloud Media 137,Finance,17,1776.87,30341.1,Month-to-Month,0,4
ACC-0138,Nexus Tech 138,Technology,7,2653.64,18210.39,Two Year,0,0
ACC-0139,Apex Software 139,Manufacturing,28,3265.36,91526.15,One Year,0,0
ACC-0140,Vertex Logistics 140,Retail,9,1031.04,9359.59,One Year,1,2
ACC-0141,Nexus Logistics 141,Education,19,2420.89,45567.31,Month-to-Month,1,2
ACC-0142,Nexus Solutions 142,Technology,26,3368.72,89375.46,One Year,1,0
ACC-0143,Synergy Logistics 143,Finance,18,3154.21,53763.16,Month-to-Month,1,3
ACC-0144,Synergy Software 144,Manufacturing,25,2443.6,63837.6,One Year,0,2
ACC-0145,Apex Media 145,Technology,43,3475.01,153289.61,Month-to-Month,1,4
ACC-0146,Cloud Analytics 146,Technology,17,2628.46,43763.9,Month-to-Month,1,6
ACC-0147,Vertex Ventures 147,Manufacturing,12,499.0,5727.97,One Year,0,0
ACC-0148,Apex Health 148,Technology,10,2487.75,24255.03,Month-to-Month,1,4
ACC-0149,Synergy Analytics 149,Healthcare,6,1209.15,7168.24,One Year,1,4
ACC-0150,Cloud Logistics 150,Technology,20,3093.68,58847.29,One Year,0,2
ACC-0151,Cloud Ventures 151,Healthcare,54,2609.23,141173.77,One Year,0,0
ACC-0152,Vertex Labs 152,Finance,13,1422.3,18854.3,One Year,0,0
ACC-0153,Vertex Software 153,Healthcare,8,2929.32,22426.87,One Year,1,2
ACC-0154,Vertex Health 154,Manufacturing,11,1362.55,14498.34,One Year,1,1
ACC-0155,Beacon Tech 155,Manufacturing,24,4232.0,91599.21,Month-to-Month,1,6
ACC-0156,Beacon Ventures 156,Finance,49,2745.93,129980.35,Month-to-Month,0,5
ACC-0157,Stratum Health 157,Education,20,1462.53,29693.53,Month-to-Month,1,8
ACC-0158,Beacon Analytics 158,Retail,17,2332.78,41542.61,One Year,1,2
ACC-0159,Beacon Labs 159,Healthcare,36,2012.17,70038.01,Month-to-Month,1,1
ACC-0160,Apex Solutions 160,Technology,8,3881.57,29323.39,Two Year,1,5
ACC-0161,Stratum Health 161,Retail,12,2647.64,29357.68,One Year,1,6
ACC-0162,Synergy Labs 162,Manufacturing,51,1926.54,97437.67,One Year,0,0
ACC-0163,Synergy Tech 163,Manufacturing,26,1680.65,43373.74,Two Year,0,2
ACC-0164,Nova Media 164,Manufacturing,51,3734.59,183366.61,Month-to-Month,0,0
ACC-0165,Cloud Ventures 165,Healthcare,7,2612.71,17795.18,One Year,0,2
ACC-0166,Synergy Analytics 166,Manufacturing,25,2073.84,47723.22,Two Year,0,0
ACC-0167,Stratum Media 167,Education,17,3829.01,63416.73,One Year,0,3
ACC-0168,Nexus Media 168,Retail,17,2337.06,36431.7,Month-to-Month,1,5
ACC-0169,Beacon Tech 169,Education,15,3089.48,45950.11,Month-to-Month,0,3
ACC-0170,Stratum Systems 170,Healthcare,29,1496.57,45328.2,One Year,0,2
ACC-0171,Cloud Solutions 171,Healthcare,65,2660.46,170615.03,Month-to-Month,1,1
ACC-0172,Vertex Ventures 172,Retail,20,2206.38,44677.89,One Year,1,1
ACC-0173,Vertex Solutions 173,Education,10,609.65,6094.19,Month-to-Month,1,4
ACC-0174,Nexus Analytics 174,Technology,13,1737.34,23475.62,Month-to-Month,1,7
ACC-0175,Vertex Ventures 175,Education,19,2590.62,45275.49,Month-to-Month,1,8
ACC-0176,Beacon Labs 176,Finance,9,2838.88,25980.32,One Year,0,6
ACC-0177,Vertex Analytics 177,Retail,20,2963.71,53947.22,Month-to-Month,1,2
ACC-0178,Vertex Media 178,Retail,8,3411.9,27087.95,Month-to-Month,1,4
ACC-0179,Nexus Labs 179,Retail,38,3792.3,130886.16,One Year,0,3
ACC-0180,Quantum Systems 180,Technology,7,3450.14,22949.51,Month-to-Month,1,6
ACC-0181,Cloud Logistics 181,Finance,25,2827.85,66259.32,Two Year,0,1
ACC-0182,Apex Health 182,Healthcare,34,2403.7,83413.5,Two Year,0,0
ACC-0183,Cloud Systems 183,Manufacturing,17,2765.58,48420.83,One Year,1,2
ACC-0184,Synergy Labs 184,Manufacturing,9,3368.79,31825.0,One Year,1,3
ACC-0185,Cloud Software 185,Technology,14,1657.05,21592.87,Two Year,1,1
ACC-0186,Quantum Systems 186,Technology,32,3868.49,128519.43,Two Year,1,0
ACC-0187,Stratum Ventures 187,Education,11,2556.04,29081.87,One Year,1,3
ACC-0188,Cloud Tech 188,Finance,20,3300.84,63898.56,Month-to-Month,1,9
ACC-0189,Apex Logistics 189,Healthcare,11,1906.02,19492.71,Month-to-Month,1,2
ACC-0190,Nexus Health 190,Technology,6,2433.52,15123.28,Two Year,0,1
ACC-0191,Beacon Ventures 191,Education,11,2252.63,23769.18,Month-to-Month,1,6
ACC-0192,Stratum Solutions 192,Finance,11,1289.03,14702.57,One Year,1,2
ACC-0193,Stratum Tech 193,Retail,16,2113.55,35505.64,Two Year,0,1
ACC-0194,Apex Logistics 194,Retail,15,1787.05,27528.86,One Year,0,2
ACC-0195,Apex Tech 195,Retail,14,1627.68,22435.25,One Year,0,1
ACC-0196,Quantum Health 196,Manufacturing,32,2729.7,79112.78,Month-to-Month,1,1
ACC-0197,Beacon Logistics 197,Healthcare,10,2061.02,19602.65,Month-to-Month,1,5
ACC-0198,Synergy Health 198,Education,40,2299.96,96166.98,One Year,0,1
ACC-0199,Nova Ventures 199,Finance,11,1627.23,18080.3,Month-to-Month,1,4
ACC-0200,Synergy Tech 200,Healthcare,5,1855.3,9234.09,Two Year,1,0
ACC-0201,Synergy Solutions 201,Technology,38,1852.32,66149.52,Month-to-Month,1,1
ACC-0202,Cloud Solutions 202,Education,13,2412.31,30198.08,Month-to-Month,1,2
ACC-0203,Pulse Health 203,Manufacturing,14,3057.56,38998.53,Two Year,1,5
ACC-0204,Pulse Ventures 204,Education,26,2900.68,74144.39,Two Year,0,1
ACC-0205,Cloud Labs 205,Retail,9,916.56,8463.34,Month-to-Month,1,4
ACC-0206,Stratum Ventures 206,Healthcare,7,2897.36,19382.1,Month-to-Month,1,7
ACC-0207,Beacon Labs 207,Healthcare,12,3400.84,37465.38,One Year,1,2
ACC-0208,Nova Labs 208,Finance,3,5010.2,14248.44,One Year,1,4
ACC-0209,Vertex Systems 209,Retail,14,2974.85,42353.07,One Year,0,2
ACC-0210,Cloud Health 210,Retail,10,2825.64,28010.52,One Year,0,3
ACC-0211,Vertex Logistics 211,Healthcare,12,3080.08,34930.77,One Year,0,1
ACC-0212,Vertex Logistics 212,Manufacturing,36,3066.64,102859.73,Two Year,0,1
ACC-0213,Stratum Health 213,Technology,20,1866.06,35330.8,One Year,1,2
ACC-0214,Nexus Analytics 214,Finance,18,1846.33,33423.21,Month-to-Month,1,2
ACC-0215,Nexus Labs 215,Retail,19,3163.58,57250.72,Month-to-Month,1,6
ACC-0216,Quantum Ventures 216,Manufacturing,20,2106.69,43302.5,One Year,1,3
ACC-0217,Vertex Solutions 217,Technology,25,2080.73,49440.36,Month-to-Month,1,2
ACC-0218,Apex Labs 218,Manufacturing,14,2624.15,36704.28,One Year,0,0
ACC-0219,Apex Solutions 219,Finance,35,2119.02,69635.21,Month-to-Month,1,6
ACC-0220,Vertex Logistics 220,Finance,32,3488.9,104220.33,Two Year,0,0
ACC-0221,Cloud Tech 221,Finance,34,2388.44,76260.15,Month-to-Month,1,5
ACC-0222,Nova Systems 222,Manufacturing,26,1588.93,39242.21,Two Year,0,1
ACC-0223,Nova Labs 223,Healthcare,22,1804.27,38639.53,One Year,1,3
ACC-0224,Pulse Analytics 224,Education,18,1698.25,27530.56,One Year,0,0
ACC-0225,Pulse Tech 225,Finance,8,499.0,3670.0,Month-to-Month,1,2
ACC-0226,Nova Tech 226,Manufacturing,7,3391.46,22645.5,Month-to-Month,1,2
ACC-0227,Nova Systems 227,Finance,43,2581.49,111744.08,One Year,0,0
ACC-0228,Cloud Software 228,Retail,20,2540.71,50482.39,One Year,1,2
ACC-0229,Nova Logistics 229,Education,27,2359.32,63883.89,Month-to-Month,1,7
ACC-0230,Nexus Health 230,Technology,24,3412.12,83277.21,Month-to-Month,1,6
ACC-0231,Synergy Tech 231,Healthcare,30,4118.88,113319.63,Month-to-Month,1,3
ACC-0232,Beacon Solutions 232,Retail,6,2286.68,13744.21,Month-to-Month,1,8
ACC-0233,Apex Analytics 233,Education,23,2840.71,67959.96,One Year,1,1
ACC-0234,Synergy Logistics 234,Finance,28,1465.38,42898.43,Month-to-Month,1,2
ACC-0235,Nexus Tech 235,Technology,7,1499.67,10992.14,One Year,0,3
ACC-0236,Synergy Tech 236,Technology,14,1981.97,28371.58,Two Year,0,3
ACC-0237,Stratum Media 237,Finance,5,1531.06,7695.98,Month-to-Month,1,3
ACC-0238,Vertex Ventures 238,Technology,13,3049.05,41183.28,Two Year,0,3
ACC-0239,Stratum Health 239,Education,53,2397.96,125412.13,One Year,0,1
ACC-0240,Stratum Ventures 240,Manufacturing,31,2163.39,70212.13,Two Year,0,0
ACC-0241,Pulse Software 241,Manufacturing,28,3488.63,102032.29,Two Year,1,2
ACC-0242,Stratum Logistics 242,Healthcare,13,2434.78,29482.6,One Year,1,0
ACC-0243,Synergy Health 243,Education,2,1630.2,3252.29,Two Year,0,1
ACC-0244,Synergy Media 244,Manufacturing,27,1580.96,42148.97,Two Year,0,0
ACC-0245,Cloud Media 245,Finance,35,2128.48,76852.51,Month-to-Month,1,8
ACC-0246,Apex Analytics 246,Education,33,1701.55,52653.0,One Year,1,1
ACC-0247,Synergy Labs 247,Retail,9,2243.47,20408.64,Month-to-Month,1,7
ACC-0248,Nova Media 248,Technology,8,2190.32,17836.89,Month-to-Month,1,2
ACC-0249,Beacon Media 249,Manufacturing,41,3212.31,138223.39,Two Year,0,2
ACC-0250,Synergy Ventures 250,Technology,24,2079.17,47798.36,One Year,0,1
ACC-0251,Stratum Solutions 251,Manufacturing,15,3347.95,45527.65,Two Year,0,2
ACC-0252,Pulse Ventures 252,Technology,14,2614.71,34074.16,Two Year,1,2
ACC-0253,Apex Systems 253,Technology,8,2071.36,15048.68,One Year,0,1
ACC-0254,Cloud Solutions 254,Education,20,2901.43,55746.17,Month-to-Month,1,3
ACC-0255,Beacon Systems 255,Finance,25,2315.68,58748.29,Month-to-Month,1,5
ACC-0256,Beacon Ventures 256,Retail,11,2641.46,28536.79,Month-to-Month,1,4
ACC-0257,Stratum Solutions 257,Education,20,1601.96,31476.9,Month-to-Month,0,4
ACC-0258,Synergy Tech 258,Manufacturing,33,3435.67,104907.38,Month-to-Month,1,5
ACC-0259,Vertex Analytics 259,Retail,15,2394.82,35733.49,Two Year,1,3
ACC-0260,Quantum Health 260,Manufacturing,13,2710.79,34365.2,Month-to-Month,1,1
ACC-0261,Beacon Health 261,Retail,25,2446.26,56328.54,Month-to-Month,1,9
ACC-0262,Synergy Solutions 262,Manufacturing,10,1395.16,14413.06,Month-to-Month,1,5
ACC-0263,Beacon Health 263,Healthcare,27,2520.31,67669.41,Month-to-Month,1,0
ACC-0264,Beacon Health 264,Technology,13,3654.91,43947.97,Two Year,1,1
ACC-0265,Quantum Systems 265,Healthcare,13,2956.49,37180.66,Two Year,1,0
ACC-0266,Nexus Health 266,Healthcare,8,1839.67,15078.74,One Year,1,0
ACC-0267,Beacon Health 267,Retail,25,2939.11,73400.4,Month-to-Month,1,6
ACC-0268,Cloud Media 268,Manufacturing,23,2985.48,65614.29,Month-to-Month,1,4
ACC-0269,Cloud Software 269,Healthcare,22,1932.34,38295.21,One Year,0,0
ACC-0270,Apex Labs 270,Retail,65,2846.37,169782.64,Month-to-Month,1,1
ACC-0271,Nova Ventures 271,Education,12,1231.21,14594.35,Month-to-Month,0,5
ACC-0272,Nova Systems 272,Healthcare,9,2173.52,19097.12,One Year,0,2
ACC-0273,Nexus Labs 273,Manufacturing,7,4596.63,29384.18,Month-to-Month,1,3
ACC-0274,Apex Logistics 274,Education,17,3478.86,61483.4,One Year,1,4
ACC-0275,Vertex Systems 275,Retail,41,3178.74,122857.15,Two Year,0,1
ACC-0276,Beacon Logistics 276,Manufacturing,36,2106.48,78825.44,One Year,0,0
ACC-0277,Quantum Health 277,Manufacturing,11,2016.2,21644.5,One Year,0,2
ACC-0278,Nexus Ventures 278,Retail,16,2494.78,38820.55,Month-to-Month,1,6
ACC-0279,Pulse Labs 279,Finance,42,2657.83,103526.58,One Year,1,1
ACC-0280,Pulse Software 280,Healthcare,8,2818.34,21067.23,Two Year,0,1
ACC-0281,Vertex Solutions 281,Retail,31,2512.49,70175.86,Two Year,1,1
ACC-0282,Beacon Software 282,Manufacturing,25,3324.46,77080.16,One Year,0,3
ACC-0283,Vertex Media 283,Manufacturing,8,3178.54,24089.46,Month-to-Month,1,4
ACC-0284,Nexus Health 284,Retail,22,1248.16,25253.72,One Year,1,2
ACC-0285,Nova Solutions 285,Technology,35,2875.41,93241.46,One Year,0,0
ACC-0286,Stratum Media 286,Education,28,2989.98,79312.37,One Year,0,0
ACC-0287,Quantum Media 287,Retail,13,2767.09,32632.38,Month-to-Month,1,3
ACC-0288,Synergy Labs 288,Healthcare,23,3372.78,76528.87,One Year,0,4
ACC-0289,Cloud Systems 289,Technology,22,2794.12,56817.31,Month-to-Month,1,7
ACC-0290,Nova Systems 290,Education,33,3573.18,122600.7,Month-to-Month,1,6
ACC-0291,Synergy Solutions 291,Retail,8,499.0,3728.8,Month-to-Month,1,5
ACC-0292,Cloud Ventures 292,Healthcare,8,2998.17,22174.24,One Year,0,4
ACC-0293,Nexus Labs 293,Manufacturing,20,2086.86,39267.2,One Year,0,4
ACC-0294,Nexus Analytics 294,Finance,13,2272.1,26939.01,One Year,0,1
ACC-0295,Nova Logistics 295,Finance,13,1884.0,25045.22,Two Year,0,1
ACC-0296,Nexus Logistics 296,Education,13,1758.64,23986.7,Month-to-Month,1,5
ACC-0297,Apex Health 297,Finance,16,2406.59,38032.0,Month-to-Month,1,10
ACC-0298,Stratum Health 298,Technology,44,2280.81,98315.47,Month-to-Month,0,3
ACC-0299,Stratum Ventures 299,Healthcare,7,2028.91,13898.59,One Year,1,1
ACC-0300,Vertex Systems 300,Retail,8,2676.43,21386.47,Month-to-Month,1,4
