Account_Ref,Name,Industry,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,True_Churn_Label,Num_Cases,Total_Cases,Escalated_Cases,Avg_Days_To_Resolve,Critical_Cases,High_Cases,Escalation_Rate,Avg_Monthly_Case_Load,Est_Annual_Value,Predicted_Churn_Prob,Predicted_Risk_Level,Top_Churn_Driver
ACC-0030,Beacon Media 30,Technology,56,2028.51,117690.5,One Year,0,0,0,0,0.0,0,0,0.0,0.0,24342.12,0.05,Low,Elevated Contract Type Two Year
ACC-0031,Apex Systems 31,Education,31,2745.84,82081.53,Two Year,1,1,1,1,55.0,0,0,1.0,0.032,32950.08,0.88,High,Elevated Escalation Rate
ACC-0032,Synergy Ventures 32,Finance,30,3522.13,107016.55,Two Year,1,0,0,0,0.0,0,0,0.0,0.0,42265.56,0.61,Medium,Elevated Monthly Charges
ACC-0033,Quantum Systems 33,Manufacturing,15,3379.02,45764.14,One Year,1,3,3,2,11.0,0,2,0.667,0.2,40548.24,0.98,High,Elevated Escalated Cases
ACC-0034,Beacon Logistics 34,Manufacturing,21,2759.33,58231.01,One Year,0,4,4,1,7.25,0,2,0.25,0.19,33111.96,0.25,Low,Elevated High Cases
ACC-0035,Vertex Software 35,Education,18,1782.2,31760.78,Month-to-Month,0,3,3,0,0.67,0,1,0.0,0.167,21386.4,0.15,Low,Elevated Contract Type One Year
ACC-0036,Nexus Health 36,Manufacturing,48,2123.17,94413.52,One Year,1,0,0,0,0.0,0,0,0.0,0.0,25478.04,0.17,Low,Elevated Total Charges
ACC-0037,Quantum Labs 37,Retail,6,1374.03,8377.7,One Year,1,0,0,0,0.0,0,0,0.0,0.0,16488.36,0.81,High,Elevated Tenure Months
ACC-0038,Beacon Software 38,Finance,39,3186.13,127708.13,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,38233.56,0.1,Low,Elevated Contract Type One Year
ACC-0039,Vertex Software 39,Manufacturing,18,2269.07,38252.96,One Year,1,3,3,2,14.0,0,1,0.667,0.167,27228.84,0.94,High,Elevated Escalated Cases
ACC-0040,Pulse Systems 40,Healthcare,29,2679.27,78321.29,One Year,0,0,0,0,0.0,0,0,0.0,0.0,32151.24,0.21,Low,Elevated Industry Healthcare
ACC-0041,Pulse Solutions 41,Education,18,2898.4,52524.73,Month-to-Month,1,4,4,3,9.5,0,3,0.75,0.222,34780.8,0.99,High,Elevated Escalated Cases
ACC-0042,Stratum Health 42,Healthcare,50,800.88,37339.34,One Year,0,1,1,0,12.0,0,0,0.0,0.02,9610.56,0.2,Low,Elevated Avg Days To Resolve
ACC-0043,Vertex Logistics 43,Finance,22,4000.94,82222.1,Month-to-Month,1,9,9,3,6.89,1,0,0.333,0.409,48011.28,0.99,High,Elevated Escalated Cases
ACC-0044,Quantum Labs 44,Retail,32,1224.46,35618.45,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,14693.52,0.07,Low,Elevated Industry Retail
ACC-0045,Vertex Logistics 45,Education,18,2537.58,42554.63,One Year,0,0,0,0,0.0,0,0,0.0,0.0,30450.96,0.11,Low,Elevated Contract Type Two Year
ACC-0046,Nova Logistics 46,Healthcare,5,3069.29,15082.47,Month-to-Month,1,4,4,3,10.5,1,1,0.75,0.8,36831.48,0.99,High,Elevated Escalated Cases
ACC-0047,Nova Software 47,Healthcare,15,3277.26,44769.57,Month-to-Month,1,2,2,0,1.5,0,0,0.0,0.133,39327.12,0.54,Medium,Elevated Contract Type One Year
ACC-0048,Stratum Media 48,Manufacturing,30,2284.47,66180.9,One Year,0,1,1,0,2.0,0,0,0.0,0.033,27413.64,0.2,Low,Elevated Contract Type Two Year
ACC-0049,Pulse Labs 49,Retail,5,2455.56,12801.05,Two Year,1,3,3,1,0.33,0,1,0.333,0.6,29466.72,0.89,High,Elevated Tenure Months
ACC-0050,Synergy Ventures 50,Finance,23,2088.91,45554.22,Month-to-Month,1,4,4,3,1.25,1,2,0.75,0.174,25066.92,0.99,High,Elevated Escalated Cases
ACC-0051,Apex Logistics 51,Retail,17,1671.81,27121.0,One Year,1,1,1,0,2.0,0,0,0.0,0.059,20061.72,0.59,Medium,Elevated Industry Retail
ACC-0052,Quantum Solutions 52,Education,2,2410.14,4688.72,Month-to-Month,1,4,4,2,6.0,0,1,0.5,2.0,28921.68,0.99,High,Elevated Escalated Cases
ACC-0053,Nexus Solutions 53,Healthcare,26,2749.0,69223.85,Month-to-Month,1,4,4,1,1.25,0,1,0.25,0.154,32988.0,0.84,High,Elevated Contract Type One Year
ACC-0054,Nexus Media 54,Manufacturing,19,3849.71,69616.63,One Year,1,4,4,0,0.75,0,1,0.0,0.211,46196.52,0.74,High,Elevated Monthly Charges
ACC-0055,Nexus Analytics 55,Healthcare,31,4027.53,121775.0,One Year,0,1,1,0,0.0,0,0,0.0,0.032,48330.36,0.68,Medium,Elevated Monthly Charges
ACC-0056,Nexus Analytics 56,Education,19,2026.08,35478.37,Two Year,0,2,2,1,9.0,0,1,0.5,0.105,24312.96,0.27,Low,Elevated Escalation Rate
ACC-0057,Stratum Ventures 57,Finance,15,1773.95,26450.12,Two Year,0,1,1,0,7.0,0,0,0.0,0.067,21287.4,0.05,Low,Elevated High Cases
ACC-0058,Quantum Logistics 58,Education,21,1164.48,22340.19,Two Year,0,2,2,1,2.5,0,0,0.5,0.095,13973.76,0.14,Low,Elevated Escalation Rate
ACC-0059,Synergy Tech 59,Manufacturing,21,1776.55,34391.42,One Year,0,1,1,0,1.0,0,0,0.0,0.048,21318.6,0.17,Low,Elevated Contract Type Two Year
ACC-0060,Cloud Labs 60,Education,21,3305.03,64972.31,Two Year,0,2,2,0,1.0,0,1,0.0,0.095,39660.36,0.12,Low,Elevated Contract Type One Year
ACC-0061,Nova Systems 61,Manufacturing,26,2337.56,63316.13,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,28050.72,0.04,Low,Elevated Contract Type One Year
ACC-0062,Quantum Ventures 62,Education,19,3434.23,61173.18,Two Year,1,3,3,1,8.33,1,1,0.333,0.158,41210.76,0.74,High,Elevated Monthly Charges
ACC-0063,Apex Labs 63,Education,30,2239.18,65463.04,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,26870.16,0.06,Low,Elevated Contract Type One Year
ACC-0064,Quantum Logistics 64,Retail,38,2514.73,97498.63,Month-to-Month,1,6,6,3,5.0,0,2,0.5,0.158,30176.76,0.99,High,Elevated Escalated Cases
ACC-0065,Nexus Software 65,Education,20,2698.58,55620.95,Two Year,0,1,1,1,17.0,0,1,1.0,0.05,32382.96,0.29,Low,Elevated Escalation Rate
ACC-0066,Cloud Media 66,Finance,10,3330.03,30421.34,Month-to-Month,1,3,3,2,2.33,0,1,0.667,0.3,39960.36,0.99,High,Elevated Escalated Cases
ACC-0067,Synergy Labs 67,Healthcare,30,3584.51,107228.59,One Year,0,0,0,0,0.0,0,0,0.0,0.0,43014.12,0.47,Medium,Elevated Monthly Charges
ACC-0068,Nexus Software 68,Education,21,1077.02,21740.87,Month-to-Month,1,6,6,3,12.83,0,3,0.5,0.286,12924.24,0.98,High,Elevated Escalated Cases
ACC-0069,Synergy Media 69,Education,51,3576.34,173966.96,Month-to-Month,0,5,5,0,2.2,0,1,0.0,0.098,42916.08,0.1,Low,Elevated Contract Type One Year
ACC-0070,Apex Software 70,Healthcare,19,1690.32,33661.8,One Year,0,2,2,0,2.5,0,1,0.0,0.105,20283.84,0.06,Low,Elevated Contract Type Two Year
ACC-0071,Quantum Analytics 71,Healthcare,15,1297.49,19681.45,One Year,1,0,0,0,0.0,0,0,0.0,0.0,15569.88,0.57,Medium,Elevated Industry Healthcare
ACC-0072,Vertex Solutions 72,Manufacturing,6,3979.16,24273.73,One Year,1,1,1,0,9.0,0,1,0.0,0.167,47749.92,0.78,High,Elevated Monthly Charges
ACC-0073,Stratum Software 73,Manufacturing,15,1614.78,24136.95,Month-to-Month,0,3,3,0,0.0,0,1,0.0,0.2,19377.36,0.06,Low,Elevated Contract Type One Year
ACC-0074,Synergy Ventures 74,Retail,20,1929.72,37806.44,One Year,0,3,3,1,3.0,0,1,0.333,0.15,23156.64,0.24,Low,Elevated Escalation Rate
ACC-0075,Cloud Systems 75,Finance,6,1877.75,10861.07,One Year,1,1,1,1,0.0,1,0,1.0,0.167,22533.0,0.95,High,Elevated Tenure Months
ACC-0076,Vertex Systems 76,Manufacturing,17,3077.34,47841.06,One Year,0,0,0,0,0.0,0,0,0.0,0.0,36928.08,0.06,Low,Elevated Contract Type Two Year
ACC-0077,Nova Media 77,Technology,12,2891.5,34280.57,One Year,0,3,3,0,1.33,0,0,0.0,0.25,34698.0,0.1,Low,Elevated Avg Monthly Case Load
ACC-0078,Nexus Logistics 78,Technology,15,2760.91,39447.21,One Year,0,3,3,0,1.0,0,0,0.0,0.2,33130.92,0.06,Low,Elevated Tenure Months
ACC-0079,Apex Health 79,Finance,7,3903.84,27474.58,Month-to-Month,1,8,8,7,13.0,1,5,0.875,1.143,46846.08,1.0,High,Elevated Escalated Cases
ACC-0080,Quantum Analytics 80,Healthcare,12,2656.68,30582.3,One Year,1,2,2,2,1.0,0,0,1.0,0.167,31880.16,0.97,High,Elevated Escalated Cases
ACC-0081,Nova Health 81,Manufacturing,21,3286.15,67621.19,Month-to-Month,1,4,4,3,4.75,1,2,0.75,0.19,39433.8,0.98,High,Elevated Escalated Cases
ACC-0082,Beacon Solutions 82,Education,25,1761.41,45707.07,Month-to-Month,1,7,7,4,5.14,0,2,0.571,0.28,21136.92,0.98,High,Elevated Escalated Cases
ACC-0083,Nexus Labs 83,Education,17,3916.64,66269.59,One Year,0,3,3,0,2.67,0,0,0.0,0.176,46999.68,0.48,Medium,Elevated Monthly Charges
ACC-0084,Quantum Systems 84,Education,14,2440.45,35178.9,Two Year,1,8,8,4,10.62,1,3,0.5,0.571,29285.4,0.97,High,Elevated Escalated Cases
ACC-0085,Vertex Media 85,Education,8,3342.52,25616.66,Month-to-Month,1,3,3,0,0.0,0,1,0.0,0.375,40110.24,0.78,High,Elevated Monthly Charges
ACC-0086,Vertex Software 86,Retail,17,3504.6,56986.66,One Year,1,0,0,0,0.0,0,0,0.0,0.0,42055.2,0.6,Medium,Elevated Monthly Charges
ACC-0087,Nova Media 87,Technology,41,2657.24,108609.51,Month-to-Month,0,2,2,0,3.0,0,0,0.0,0.049,31886.88,0.35,Low,Elevated Contract Type One Year
ACC-0088,Vertex Software 88,Technology,21,2086.17,42764.86,One Year,1,5,5,1,2.0,0,2,0.2,0.238,25034.04,0.86,High,Elevated High Cases
ACC-0089,Pulse Software 89,Manufacturing,8,1885.76,15623.09,Month-to-Month,1,4,4,1,6.5,1,1,0.25,0.5,22629.12,0.96,High,Elevated Tenure Months
ACC-0090,Stratum Systems 90,Finance,7,2633.16,16820.81,Month-to-Month,1,4,4,2,11.5,0,2,0.5,0.571,31597.92,1.0,High,Elevated Escalated Cases
ACC-0091,Synergy Health 91,Healthcare,41,2043.4,75882.81,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,24520.8,0.09,Low,Elevated Industry Healthcare
ACC-0092,Nexus Health 92,Education,14,3738.0,50781.22,One Year,1,3,3,2,20.33,0,0,0.667,0.214,44856.0,0.98,High,Elevated Escalated Cases
ACC-0093,Beacon Solutions 93,Technology,27,4108.16,101672.75,Two Year,1,0,0,0,0.0,0,0,0.0,0.0,49297.92,0.87,High,Elevated Monthly Charges
ACC-0094,Beacon Media 94,Technology,7,2085.91,14525.34,One Year,1,3,3,2,6.67,0,1,0.667,0.429,25030.92,0.99,High,Elevated Escalated Cases
ACC-0095,Stratum Media 95,Technology,26,2212.57,55143.37,One Year,0,6,6,0,3.0,0,0,0.0,0.231,26550.84,0.13,Low,Elevated Avg Monthly Case Load
ACC-0096,Apex Logistics 96,Technology,23,2794.94,60898.4,Month-to-Month,1,2,2,1,24.5,1,0,0.5,0.087,33539.28,0.94,High,Elevated Escalation Rate
ACC-0097,Synergy Software 97,Technology,6,3097.0,18951.81,Month-to-Month,1,5,5,4,5.2,1,2,0.8,0.833,37164.0,0.99,High,Elevated Escalated Cases
ACC-0098,Nova Solutions 98,Finance,20,2606.38,50411.01,One Year,0,0,0,0,0.0,0,0,0.0,0.0,31276.56,0.09,Low,Elevated Contract Type Two Year
ACC-0099,Synergy Labs 99,Manufacturing,12,2801.77,31643.75,Two Year,1,3,3,1,2.33,0,2,0.333,0.25,33621.24,0.89,High,Elevated High Cases
ACC-0100,Synergy Tech 100,Manufacturing,3,1683.01,5263.21,Month-to-Month,1,3,3,2,5.0,0,0,0.667,1.0,20196.12,0.99,High,Elevated Escalated Cases
ACC-0101,Stratum Ventures 101,Retail,50,1643.93,75428.78,One Year,0,0,0,0,0.0,0,0,0.0,0.0,19727.16,0.08,Low,Elevated Industry Retail
ACC-0102,Nexus Logistics 102,Retail,16,1498.77,22609.52,Two Year,0,3,3,0,4.33,0,1,0.0,0.188,17985.24,0.06,Low,Elevated Industry Retail
ACC-0103,Stratum Software 103,Finance,27,3563.32,98875.06,One Year,1,1,1,0,3.0,0,0,0.0,0.037,42759.84,0.73,High,Elevated Monthly Charges
ACC-0104,Vertex Logistics 104,Healthcare,24,2467.87,55409.23,One Year,0,0,0,0,0.0,0,0,0.0,0.0,29614.44,0.14,Low,Elevated Industry Healthcare
ACC-0105,Synergy Media 105,Retail,30,1977.9,56686.81,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,23734.8,0.1,Low,Elevated Industry Retail
ACC-0106,Stratum Health 106,Retail,18,1232.88,22916.11,Month-to-Month,1,4,4,0,3.5,0,0,0.0,0.222,14794.56,0.74,High,Elevated Industry Retail
ACC-0107,Nova Ventures 107,Retail,42,3201.89,139402.25,Month-to-Month,1,2,2,2,5.5,1,0,1.0,0.048,38422.68,0.98,High,Elevated Escalated Cases
ACC-0108,Vertex Software 108,Healthcare,18,2043.06,36600.71,One Year,0,1,1,0,3.0,0,0,0.0,0.056,24516.72,0.27,Low,Elevated Contract Type Two Year
ACC-0109,Nova Labs 109,Retail,19,1982.45,34771.09,One Year,1,3,3,1,7.67,0,1,0.333,0.158,23789.4,0.57,Medium,Elevated Escalation Rate
ACC-0110,Apex Solutions 110,Education,27,3888.77,103089.69,One Year,1,1,1,1,2.0,1,0,1.0,0.037,46665.24,0.94,High,Elevated Escalation Rate
ACC-0111,Nexus Systems 111,Education,14,2839.33,36132.8,Month-to-Month,1,9,9,6,6.67,0,4,0.667,0.643,34071.96,1.0,High,Elevated Escalated Cases
ACC-0112,Apex Software 112,Manufacturing,12,2679.56,31821.21,Two Year,0,3,3,1,3.67,0,1,0.333,0.25,32154.72,0.4,Medium,Elevated Avg Monthly Case Load
ACC-0113,Quantum Systems 113,Manufacturing,42,3604.07,147683.29,One Year,0,1,1,0,10.0,0,0,0.0,0.024,43248.84,0.25,Low,Elevated Avg Days To Resolve
ACC-0114,Vertex Ventures 114,Finance,11,2479.56,27799.79,Month-to-Month,1,5,5,2,9.8,0,0,0.4,0.455,29754.72,1.0,High,Elevated Escalated Cases
ACC-0115,Stratum Solutions 115,Education,13,2777.2,35541.78,One Year,0,0,0,0,0.0,0,0,0.0,0.0,33326.4,0.17,Low,Elevated Tenure Months
ACC-0116,Apex Tech 116,Finance,15,3297.01,49508.11,Two Year,1,1,1,0,3.0,0,0,0.0,0.067,39564.12,0.35,Low,Elevated Contract Type One Year
ACC-0117,Apex Labs 117,Manufacturing,14,2220.59,29217.67,One Year,1,5,5,2,7.0,0,2,0.4,0.357,26647.08,0.99,High,Elevated Escalated Cases
ACC-0118,Nexus Analytics 118,Education,37,3086.11,105132.53,Month-to-Month,1,2,2,0,11.0,0,0,0.0,0.054,37033.32,0.7,Medium,Elevated Avg Days To Resolve
ACC-0119,Quantum Labs 119,Manufacturing,31,2777.19,79966.49,Month-to-Month,1,1,1,1,4.0,1,0,1.0,0.032,33326.28,0.97,High,Elevated Escalation Rate
ACC-0120,Quantum Logistics 120,Education,81,2990.22,243600.09,Month-to-Month,0,1,1,0,1.0,0,0,0.0,0.012,35882.64,0.16,Low,Elevated Contract Type One Year
ACC-0121,Vertex Labs 121,Education,16,2673.95,41990.8,Two Year,0,3,3,0,2.0,0,0,0.0,0.188,32087.4,0.2,Low,Elevated Contract Type One Year
ACC-0122,Quantum Media 122,Education,54,3806.75,193383.41,Month-to-Month,0,3,3,0,3.67,0,0,0.0,0.056,45681.0,0.22,Low,Elevated Contract Type One Year
ACC-0123,Nova Ventures 123,Education,45,2862.83,134013.27,Two Year,0,2,2,0,3.0,0,1,0.0,0.044,34353.96,0.05,Low,Elevated Contract Type One Year
ACC-0124,Stratum Analytics 124,Healthcare,9,2361.54,20460.72,Two Year,0,1,1,1,14.0,1,0,1.0,0.111,28338.48,0.34,Low,Elevated Escalation Rate
ACC-0125,Nova Software 125,Technology,9,777.29,6305.77,One Year,0,0,0,0,0.0,0,0,0.0,0.0,9327.48,0.22,Low,Elevated Total Charges
ACC-0126,Vertex Tech 126,Finance,12,1949.48,22648.72,One Year,1,3,3,0,1.0,0,0,0.0,0.25,23393.76,0.55,Medium,Elevated Avg Monthly Case Load
ACC-0127,Quantum Labs 127,Education,33,4451.8,148906.25,Month-to-Month,1,3,3,1,4.0,0,1,0.333,0.091,53421.6,0.76,High,Elevated Monthly Charges
ACC-0128,Quantum Tech 128,Finance,26,1896.83,48694.66,One Year,0,1,1,0,1.0,0,0,0.0,0.038,22761.96,0.21,Low,Elevated Contract Type Two Year
ACC-0129,Nexus Software 129,Healthcare,20,3613.6,69439.84,One Year,0,3,3,0,1.67,0,0,0.0,0.15,43363.2,0.3,Low,Elevated Monthly Charges
ACC-0130,Cloud Media 130,Manufacturing,29,1225.61,36026.16,Two Year,0,2,2,0,1.5,0,0,0.0,0.069,14707.32,0.04,Low,Elevated Contract Type One Year
ACC-0131,Beacon Systems 131,Technology,19,2934.64,57113.98,Two Year,0,1,1,0,5.0,0,0,0.0,0.053,35215.68,0.14,Low,Elevated Contract Type One Year
ACC-0132,Nexus Systems 132,Education,23,1504.91,32218.07,One Year,1,1,1,0,1.0,0,1,0.0,0.043,18058.92,0.33,Low,Elevated Contract Type Two Year
ACC-0133,Stratum Ventures 133,Manufacturing,11,2723.2,29493.49,One Year,1,4,4,2,6.25,0,0,0.5,0.364,32678.4,0.98,High,Elevated Escalated Cases
ACC-0134,Nova Ventures 134,Finance,7,2429.37,17837.65,Month-to-Month,0,6,6,1,2.17,0,0,0.167,0.857,29152.44,0.97,High,Elevated Escalated Cases
ACC-0135,Vertex Analytics 135,Education,12,1688.19,19506.42,One Year,1,1,1,1,3.0,0,0,1.0,0.083,20258.28,0.91,High,Elevated Escalation Rate
ACC-0136,Apex Solutions 136,Retail,16,2764.7,44270.74,Two Year,1,7,7,1,2.29,0,1,0.143,0.438,33176.4,0.85,High,Elevated Escalated Cases
ACC-0137,Cloud Media 137,Finance,17,1776.87,30341.1,Month-to-Month,0,4,4,0,4.0,0,0,0.0,0.235,21322.44,0.21,Low,Elevated Contract Type One Year
ACC-0138,Nexus Tech 138,Technology,7,2653.64,18210.39,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,31843.68,0.16,Low,Elevated Tenure Months
ACC-0139,Apex Software 139,Manufacturing,28,3265.36,91526.15,One Year,0,0,0,0,0.0,0,0,0.0,0.0,39184.32,0.17,Low,Elevated Total Charges
ACC-0140,Vertex Logistics 140,Retail,9,1031.04,9359.59,One Year,1,2,2,0,4.5,0,1,0.0,0.222,12372.48,0.6,Medium,Elevated Total Charges
ACC-0141,Nexus Logistics 141,Education,19,2420.89,45567.31,Month-to-Month,1,2,2,1,4.0,0,0,0.5,0.105,29050.68,0.95,High,Elevated Escalation Rate
ACC-0142,Nexus Solutions 142,Technology,26,3368.72,89375.46,One Year,1,0,0,0,0.0,0,0,0.0,0.0,40424.64,0.61,Medium,Elevated Monthly Charges
ACC-0143,Synergy Logistics 143,Finance,18,3154.21,53763.16,Month-to-Month,1,3,3,0,3.0,0,0,0.0,0.167,37850.52,0.62,Medium,Elevated Contract Type One Year
ACC-0144,Synergy Software 144,Manufacturing,25,2443.6,63837.6,One Year,0,2,2,0,1.5,0,1,0.0,0.08,29323.2,0.05,Low,Elevated Contract Type Two Year
ACC-0145,Apex Media 145,Technology,43,3475.01,153289.61,Month-to-Month,1,4,4,3,2.25,0,1,0.75,0.093,41700.12,0.95,High,Elevated Escalated Cases
ACC-0146,Cloud Analytics 146,Technology,17,2628.46,43763.9,Month-to-Month,1,6,6,3,4.33,1,2,0.5,0.353,31541.52,1.0,High,Elevated Escalated Cases
ACC-0147,Vertex Ventures 147,Manufacturing,12,499.0,5727.97,One Year,0,0,0,0,0.0,0,0,0.0,0.0,5988.0,0.18,Low,Elevated Total Charges
ACC-0148,Apex Health 148,Technology,10,2487.75,24255.03,Month-to-Month,1,4,4,1,2.25,0,1,0.25,0.4,29853.0,0.95,High,Elevated Escalated Cases
ACC-0149,Synergy Analytics 149,Healthcare,6,1209.15,7168.24,One Year,1,4,4,1,7.25,0,1,0.25,0.667,14509.8,0.94,High,Elevated Tenure Months
ACC-0150,Cloud Logistics 150,Technology,20,3093.68,58847.29,One Year,0,2,2,0,2.0,0,0,0.0,0.1,37124.16,0.05,Low,Elevated Contract Type Two Year
ACC-0151,Cloud Ventures 151,Healthcare,54,2609.23,141173.77,One Year,0,0,0,0,0.0,0,0,0.0,0.0,31310.76,0.09,Low,Elevated Industry Healthcare
ACC-0152,Vertex Labs 152,Finance,13,1422.3,18854.3,One Year,0,0,0,0,0.0,0,0,0.0,0.0,17067.6,0.26,Low,Elevated Tenure Months
ACC-0153,Vertex Software 153,Healthcare,8,2929.32,22426.87,One Year,1,2,2,2,22.5,0,1,1.0,0.25,35151.84,0.96,High,Elevated Escalated Cases
ACC-0154,Vertex Health 154,Manufacturing,11,1362.55,14498.34,One Year,1,1,1,1,17.0,0,0,1.0,0.091,16350.6,0.89,High,Elevated Escalation Rate
ACC-0155,Beacon Tech 155,Manufacturing,24,4232.0,91599.21,Month-to-Month,1,6,6,3,8.0,0,1,0.5,0.25,50784.0,0.99,High,Elevated Escalated Cases
ACC-0156,Beacon Ventures 156,Finance,49,2745.93,129980.35,Month-to-Month,0,5,5,0,3.2,0,1,0.0,0.102,32951.16,0.1,Low,Elevated Contract Type One Year
